"IEEE 1500 Wrapper Design & Test Time Reduction (Base Paper: Iyengar et al., IEEE TCAD 2002)"

Benchmark,TAM Width (w),Pre-Wrapper Raw Cycles,Post-Wrapper Cycles (IEEE 1500),Cycles Saved,Reduction %
d695,16,529200,8497,520703,98.39%
d695,24,529200,7853,521347,98.52%
d695,32,529200,7574,521626,98.57%
d695,40,529200,7456,521744,98.59%
d695,48,529200,7418,521782,98.60%
d695,56,529200,7369,521831,98.61%
d695,64,529200,7328,521872,98.62%
p22810,16,4303200,40084,4263116,99.07%
p22810,24,4303200,35028,4268172,99.19%
p22810,32,4303200,33261,4269939,99.23%
p22810,40,4303200,32399,4270801,99.25%
p22810,48,4303200,31900,4271300,99.26%
p22810,56,4303200,31602,4271598,99.27%
p22810,64,4303200,31434,4271766,99.27%
