"Multi-TAM Width Sweep Evaluation (Roy & Giri, 2023 Sample Paper Format)"

Benchmark,TAM Width,Algorithm,Test Time (CC),TSV Used,TSV Budget,Run Time (s),Peak Power (W),Max Power (W),Peak Tj (°C),Empirical Status
p22810,16,Greedy 3D,711848,16,80,0.0052,31.95,94.05,56.4,Safe
p22810,16,MACO 3D,709349,16,80,0.5401,31.95,94.05,56.4,Safe
p22810,24,Bat 3D,552047,24,80,0.6026,40.35,94.05,60.8,Safe
p22810,24,MACO 3D,554249,24,80,0.6473,36.75,94.05,49.5,Safe
p22810,32,Greedy 3D,420649,32,80,0.0076,47.8,94.05,75.8,Safe
p22810,32,ABC 3D,418548,32,80,0.534,43.75,94.05,69.7,Safe
p22810,32,Bat 3D,417398,32,80,0.5568,49.6,94.05,83.4,Safe
p22810,32,Firefly 3D,416248,32,80,3.8541,52.3,94.05,89.0,Safe
p22810,32,MACO 3D,417648,32,80,0.6682,46.65,94.05,77.3,Safe
p22810,48,MACO 3D,279249,48,80,0.7853,64.25,94.05,90.5,Safe
p22810,64,Firefly 3D,210449,64,80,6.4685,70.8,94.05,94.8,Safe
p22810,64,MACO 3D,211799,56,80,1.0434,78.45,94.05,93.4,Safe
d695,16,Greedy 3D,322500,16,16,0.0027,22.2,45.89,48.5,Safe
d695,16,ABC 3D,320500,16,16,0.0569,21.0,45.89,39.8,Safe
d695,16,Bat 3D,330000,16,16,0.0512,22.2,45.89,48.5,Safe
d695,16,Firefly 3D,320500,16,16,0.0908,22.2,45.89,48.5,Safe
d695,16,MACO 3D,322500,16,16,0.075,22.2,45.89,48.5,Safe
d695,32,MACO 3D,182000,16,16,0.0842,35.8,45.89,48.0,Safe
d695,64,MACO 3D,182000,16,16,0.0819,42.9,45.89,40.8,Safe
